,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343,0.018624733532343
error_90,0.00073664825046,0,0.000306560392397,0.006588007347734,0.007005008754202,0.014427797542876,0,0.000188536953243,0,0.000734643965244,0,,,0,0.002006814802829,0,,,0,0,0,0,
error_80,0,0,0.000306560392397,0.004522278272456,0.004358598330538,0.009406808693027,0,0,0,0,0,,,0,0.00070821529745,0,,,0,,0,0,
error_70,0,0,0.000306560392397,0.002787807334267,0.003090996003765,0.006464694868177,0,0,0,0,0,,,0,0,0,,,0,,0,0,
error_60,0,0,0.000306560392397,0.001576458223857,0.002447791176515,0.004223079463941,0,0,0,0,0,,,0,,0,,,0,,0,0,
error_50,0,0,0.001742160278746,0,0.001049363970712,0.005386028200382,0,0,0,0,0,,,0,,0,,,0,,0,0,
error_40,0,0,0.001742160278746,0,0.000369549150037,0.002065622389632,0,0,0,0,0,,,0,,0,,,0,,0,,
error_30,0,0,0.001742160278746,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,
error_20,0,0,0.001742160278746,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,
error_10,0,0,0.001742160278746,0,0.002066115702479,0,0,0,0,0,0,,,,,0,,,,,,,
