,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051,0.244664850950051
error_90,0.227966146334879,0.161110260626801,0.046129374337222,0.2251563792163,0.224131751328637,0.238365407715111,0.161115772295445,0.200566446602123,0.11768885632945,0.218510946165509,0.117734144468248,0.166047100430013,0.144808155831881,0.152654165164082,0.231128940000938,0.155552473870924,0.207011118550024,0.160320049830721,0.162069043593769,0.160220862933407,0.162168201758603,0.16057606920085,0.159933847850055
error_80,0.208542137769695,0.057082622742596,0.046129374337222,0.208394804311482,0.209882934341435,0.228564654635816,0.056032398956432,0.162923450188586,0.11768885632945,0.189187947423971,0.117734144468248,0.075798760543984,0.078634026887273,0.152654165164082,0.210002085940759,0.062189326138043,0.207011118550024,0.064493611204563,0.076680109863366,0.069377773469139,0.069977853526947,0.070693106028927,0.071485633001225
error_70,0.184038245778044,0,0.046129374337222,0.189595354924394,0.197164476202861,0.222908902203142,0,0.125709864589446,0.11768885632945,0.155945758825156,0.042223097309513,0.075798760543984,0.027019737967875,0.109801996399935,0.197426270282259,0.022460900523398,0.175392224957278,0.064493611204563,0.020268339086746,0.015475881923569,0.012158185633523,0.017024414043371,0.022632395694863
error_60,0.157485492036054,0,0.046129374337222,0.177100356170124,0.181930267774448,0.216749779803955,0,0.100530291035054,0.053143756533587,0.122777733881163,0.042223097309513,,0.027019737967875,0.049913546891438,0.171875930633952,0.005589057120381,,0.064493611204563,0.005280041079703,0.005279672481596,0.003051085463857,0,0.001670091260001
error_50,0.1299786628734,0,0.046129374337222,0.164070242342893,0.174579672296946,0.209811044960843,0,0.086280193322609,0.053143756533587,0.090338420184321,0.011339305385328,,0.005448437043529,0.020002226382175,0.163458383009433,0.003604193971166,,,0.000354358610914,0.000349406009783,0.003154046450136,0,0.000664451827243
error_40,0.08492682940393,0,0.046129374337222,0.148877003696541,0.159451809545423,0.204986806214009,0,0.065740338688667,0.02790580984352,0.059959204905412,0.002592275494673,,0.005448437043529,0.010194650249624,0.149461127669597,0.003604193971166,,,0.000444839857651,0.000426985482494,0,0,0.000421229991575
error_30,0.038859988439821,0,0.046129374337222,0.130125,0.147131983853911,0.196318965229031,0,0.042735412271036,0.005448437043529,0.037228260869565,0,,0.005448437043529,0.00354721443037,0.097598162071846,0.003604193971166,,,0.00054704595186,0.000537634408602,0,0,0
error_20,0,0,0.046129374337222,0.104816709292413,0.133321122262646,0.175613769791852,0,0.028235110521564,0,0.020850926707854,0,,,0.00343948445917,0.070684298675895,0.1,,,0,0,0,0,0
error_10,0,0,0.046129374337222,0.08196860271929,0.119020979020979,0.165656565656566,0,0.008992138205621,0,0.009751324358066,0,,,0.001683501683502,0.007364636490158,0.1,,,0,0,0,0,0
