,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142,0.042249175937142
error_90,0.024917582417583,0,0.007448117463703,0.042807910077137,0.043003095975232,0.040600651535697,0,0.006903423414771,0.001908750657674,0.014270303048945,0.000725952813067,,0.00060502272437,0.000963391136802,0.026271384099845,0,0.019105455537859,,0.000922735578894,0.00298653107366,0.002809746967266,0.001475418115187,0
error_80,0.007672984624035,0,0.007448117463703,0.043164623236473,0.040818461458684,0.039857085704125,0,0.001919841121927,0,0.006566901948654,0,,,0.000478927203065,0.009181030251404,,0.006864161849711,,0,,,0,0
error_70,0.000269541778976,0,0.007448117463703,0.040207405433528,0.035964912280702,0.038934970014865,0,0,0,0.002998138899272,0,,,0.000328731097962,0.004510846540945,,0.006864161849711,,0,,,0,0
error_60,0,0,0.007448117463703,0.01958715484656,0.026579901579902,0.041875033423665,0,0,0,0.000487329434698,0,,,0.000524109014675,0,,0.006864161849711,,0,,,0,0
error_50,0,0,0.007448117463703,0.008763119204623,0.012954938937878,0.044726381057316,0,0,0,0,0,,,,0,,0.006864161849711,,,,,,
error_40,0,0,,0,0.00659298041497,0.047978243021347,0,0,0,0,,,,,,,,,,,,,
error_30,0,0,,,0.000283768444949,0.048177419609869,0,0,,0,,,,,,,,,,,,,
error_20,0,0,,,0.000420168067227,0.037599869506981,0,0,,0,,,,,,,,,,,,,
error_10,,0,,,0,0.030241908730211,,0,,0,,,,,,,,,,,,,
