,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328,0.108681339518328
error_90,0.105764314470062,0.0253990786476,0.002479851208927,0.116350231104212,0.116522788452613,0.112638601517322,0.05004577357339,0.024932647926943,0.008231292517007,0.079470957628951,0.01138015703179,0.001856208543695,0,0.029298713197018,0.106020881442465,0.004089932198728,0.032538495962247,0.001850994909764,0.005690262596177,0.01014585629871,0.016748560341589,0.009922764139119,0.011684635658923
error_80,0.089029415305879,0,0.002479851208927,0.127367910356237,0.12632464402303,0.115572110768859,0,0.00628667873108,0.000470588235294,0.059656437596055,0.000433752756225,,0.001276143792337,0.011531582066805,0.111798835615077,0.167770419426049,0.032538495962247,0.001850994909764,0,0.0002,0.000197628458498,0.000635773198154,0
error_70,0.069252699215638,0,0.002479851208927,0.142309928770461,0.136348396836588,0.119094017094017,0,0.003107198342828,0,0.044193819120371,0,,0.000342700479781,0.004518436020641,0.115993944880739,0.167770419426049,0.032538495962247,,0,0,0,0,0
error_60,0.058925790200426,0,0.002479851208927,0.148433831913609,0.151924194104726,0.123419173890872,0,0.003431708991078,0.000342700479781,0.036249730500688,0,,0.000342700479781,0.004859268743385,0.113617041503694,0.167770419426049,0.032538495962247,,0,0,0,0,0
error_50,0.013333333333333,0,0.002479851208927,0.157588130181713,0.15465021189194,0.132820716503257,0,0.003753378565972,0,0.031194022179511,0,,,0.00481075818838,0.128296709480322,0.167770419426049,0.032538495962247,,0,0,0,0,0
error_40,,,0.002479851208927,0.194481937276697,0.190052756326936,0.147629074000965,0,0.005474452554745,0,0.024664224664225,0,,,0.004544491525424,0.045926251097454,0.167770419426049,0.032860539994529,,0,0,0,0,0
error_30,,,0.002479851208927,0.085562987736901,0.169477234401349,0.156056495145539,0,0,0,,,,,0.000584112149533,0.00058858151854,0,,,0,0,,0,0
error_20,,,,,,0.211378182990284,0,0,,,,,,,,0,,,,0,,,0
error_10,,,,,,,0,0,,,,,,,,0,,,,,,,
