,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586,0.085499585499586
error_90,0.057222222222222,0,0.003826707781204,0.059756208701076,0.059247767435136,0.076507908201759,0,0.029263288110609,0.0241166271428,0.047141709931648,0.00897928228868,0.014391410769916,0.003521864362399,0.015995055666421,0.057225054495409,0.003432080924855,0.062143059877675,0.009987105103132,0.002892933695538,0.002402354921026,0.002425650493833,0.003342327140369,0.00093276325255
error_80,0.031089815989297,0,0.003826707781204,0.044465787994827,0.047463477483445,0.067538255056878,0,0.010163346599019,0.003463221541775,0.016665801504479,0,,0,0.00269582691532,0.044486700814056,0,0.043265201110323,,0.00064850843061,0,0,0,0.00125630871665
error_70,0.010349976941324,0,0.003826707781204,0.03390013473148,0.038803044122833,0.063124844161186,0,0.007592448748476,0,0.008576439023693,0,,,0.001452291276125,0.024959150326798,0,,,0,0,0,0,0
error_60,0,0,0.003826707781204,0.023656031468532,0.034085940183924,0.056871403720059,0,0.002467837704107,0,0.002492834665411,0,,,0.000532765050613,0.009546109739638,0,,,0,0,0,0,0
error_50,0,0,0.003826707781204,0.016359651318283,0.026403479046651,0.050721752315681,0,0.000365497076023,0,0.000670337434458,0,,,0.000627746390458,0.001106194690266,0,,,0,0,0,0,0
error_40,0,0,0.003826707781204,0.013671906427283,0.023317618343602,0.041612188050708,0,0,0,0,0,,,0.000328299409061,0.001915708812261,0,,,0,0,0,0,0
error_30,0,0,0.003826707781204,0.013240418118467,0.017697249142725,0.031357199896526,0,0,0,0,0,,,0,0.001915708812261,,,,0,0,0,0,0
error_20,0,0,0.003826707781204,0.011433399042523,0.012558573839446,0.029174371249334,0,0,0,0,0,,,0,0,,,,0,0,0,0,0
error_10,0,0,0,0,0.010297600659047,0.01589030673998,0,0,0,0,0,,,,,,,,0,,,0,0
